key,name,cn_name,publisher,genre,track_count,first_date,spotify_id,status,reason_cn,desc_en,desc_cn,desc_official,apple_url,official_site
talkart,Talk Art,聊艺术（Tovey × Diament）,Russell Tovey and Robert Diament,Visual Arts,388,2018-11-01,1rnFysoDaQrO7YSTJYSQmb,,演员 Russell Tovey × 画廊主 Robert Diament 的每周艺术闲谈：名人嘉宾入场门槛最低的当代艺术入口。,"Talk Art is a podcast released every week by actor Russell Tovey and gallerist Robert Diament, featuring accessible and entertaining conversations with artists, museum directors, collectors and celebrities about art and why it matters.",演员 Russell Tovey 与画廊主 Robert Diament 每周更新：与艺术家、馆长、藏家和名人轻松聊艺术为何重要。,True,https://podcasts.apple.com/us/podcast/id1439567112?uo=4,
artangle,The Art Angle,艺术视角（Artnet 新闻）,Artnet News,Visual Arts,375,2019-10-01,0W9WRDW5EaTsNmKxrACLeq,,Artnet 新闻部每周把艺术圈最大新闻讲成人话：市场、博物馆、丑闻与趋势的一手内幕。,"A weekly podcast that brings the biggest stories in the art world down to earth. Go inside the newsroom of the art industry's most-read media outlet, Artnet News, for an in-depth view of what matters most in museums, the market, and much more.",每周一期，走进艺术行业读者最多的新闻编辑部：博物馆、市场与大事记的深度拆解。,True,https://podcasts.apple.com/us/podcast/id1484445852?uo=4,
messytruth,The Messy Truth - Conversations on Photography,摄影的真相（Gem Fletcher）,Gem Fletcher,Visual Arts,109,2019-05-01,6k4j66ihRSzSechzMl6AiN,,图片总监 Gem Fletcher 拆解行业里没人说的部分：Catherine Opie、Charlotte Cotton、Laia Abril 都来交底。,"Photo Director Gem Fletcher hosts The Messy Truth, a podcast dedicated to the world of contemporary photography featuring exclusive interviews with emerging and leading artists, curators and critics.",图片总监 Gem Fletcher 主持：与当代摄影的新锐与领军艺术家、策展人、批评家坦诚对谈， unpack 图像如何塑造世界。,True,https://podcasts.apple.com/us/podcast/id1459128692?uo=4,
righteyedominant,Right Eye Dominant,右眼主导（Nick Tauro Jr.）,Nick Tauro Jr.,Visual Arts,108,2020-07-01,7fBBPsmRsTRMiEI4ReME6i,,摄影师 Nick Tauro Jr. 的个人摄影课堂：Robert Frank 百期特辑、Burtynsky、Lev Manovich 谈 AI 时代的模拟记忆。,"A photography-focused podcast that delves into the creative process, and the trials and tribulations of bringing lasting value to your artwork, regardless of the medium.",聚焦创作过程的摄影播客：创作者访谈、自出版zine、伟大摄影书、展览与被忽视的英雄。,True,https://podcasts.apple.com/us/podcast/id1582696553?uo=4,
analogtalk,Analog Talk,胶片漫谈,Analog Talk,Visual Arts,220,2017-06-01,5n1Gv4962DdBWXLjLhncH7,,胶片复兴一线的社区播客：Alec Soth 第 154 期之外，大画幅、宝丽来、中国胶片生态都有专集。,A film photography podcast.,一档胶片摄影播客。,True,https://podcasts.apple.com/us/podcast/id1251546502?uo=4,
areweonair,ARE WE ON AIR ?,我们开播了吗（文化名流原声）,Arman Naféei,Music Interviews,147,2020-04-01,3jkmlUkOfQqofQabtYhU4Q,,文化推手 Arman Naféei 探访全球文化名人的'人生原声'：Tillmans 那期从宇宙聊到俱乐部文化。,"Are We On Air ? is a weekly interview series by Arman Naféei exploring the life's soundtrack of global cultural figures and personalities within the fields of music, film, art, fashion, life and culture.",Arman Naféei 的每周访谈系列：探索音乐、电影、艺术、时尚领域全球文化人物的'人生配乐'。,True,https://podcasts.apple.com/us/podcast/id1509599164?uo=4,
fost,Future of StoryTelling (FoST),故事的未来,Future of StoryTelling,Design,164,2019-06-01,496MvZ6ZfyW9nqAqyCpdNO,,讲故事的科学：Stephen Shore 两度做客谈'照片与故事'——影像叙事的最佳交叉点。,"The Future of StoryTelling (FoST) is a passionate community of people from the worlds of media, technology, and communications who believe that better stories can create a better world.",FoST 是由媒体、科技与传播界组成的社群，相信更好的故事能创造更好的世界；播客访谈叙事前沿的实践者。,True,https://podcasts.apple.com/us/podcast/id1501861146?uo=4,
emulsions,Emulsions Podcast,乳剂（胶片摄影播客）,Emulsions Podcast,Arts,74,2022-01-01,4W1mVrmFWuJEf24bMjQ9fN,,年轻一代的胶片播客：Stephen Shore 2023/2025 两度长访，谈 Uncommon Places 之后的人生。,Film photography podcast from Stephen K. Schuster and Hollis Monk Thayer.,Stephen K. Schuster 与 Hollis Monk Thayer 主持的胶片摄影播客。,True,https://podcasts.apple.com/us/podcast/id1674718099?uo=4,
thoughtpieces,Thought Pieces,思想片段（MACK 出版社）,MACK,Arts,16,2021-09-01,02Igw8mrCFSf09Ykhi4W4w,,摄影书名社 MACK 官方播客：作者亲读自己的艺术写作——Stephen Shore 读《Modern Instances》是代表集。,"Thought Pieces, the podcast from celebrated publisher MACK, brings you the best of arts writing across literature, poetry and criticism. Each week, discover a new piece of writing, read by the artist or writer themself.",著名出版社 MACK 的播客：汇集文学、诗歌与批评领域的最佳艺术写作，每周由作者本人朗读一篇。,True,https://podcasts.apple.com/us/podcast/id1586614939?uo=4,
nbn_socio,New Books in Sociology,社会学新书（NBN）,New Books Network,Social Sciences,996,2015-01-01,4C00Q5pCTCpTVjOX5Fzgbu,,社会学家亲自讲自己的新书：科技劳工、阶层再生产、数字资本主义……NBN 旗下社会学正统频道。,"Interviews with sociologists about their new books, covering inequality, culture, technology, migration, education and the full breadth of the discipline.",New Books Network 社会学频道：每期由学者访谈同行，讨论其新近出版的研究专著。,False,https://podcasts.apple.com/us/podcast/id425683368?uo=4,
socbites,Social Science Bites,社会科学小咬（SAGE）,SAGE Publishing,Social Sciences,120,2012-10-01,13BcvdCZQl3CiF8NimP7xa,,Philosophy Bites 团队打造：David Edmonds 每集 15 分钟采访一位顶尖社会科学家——Lamont 论污名即在此。,"In this series of illuminating podcasts, hear Dave Edmonds interview leading social scientists to learn their perspectives on how our social world is created, and how social science can help us understand people and how they behave.",Dave Edmonds 采访顶尖社会科学家：听他们讲社会世界如何被建构、社会科学如何帮助我们理解人与行为。,True,https://podcasts.apple.com/us/podcast/id524122804?uo=4,
taop,Talking About Organizations Podcast,漫谈组织（组织理论精读）,Talking About Organizations,Management,363,2016-01-01,1CPbRaXU70DyaEHSkyVrEF,,逐本精读组织研究经典：第 67/109 期整两期精读 Andrew Abbott《The System of Professions》——分形区分作者的另一场重头戏。,"Talking About Organizations is a conversational podcast where we talk about one book, journal article or idea per episode and try to understand it, its purpose and its impact.",每周精读一本组织理论/管理科学经典：理解它的目的与影响，从韦伯到梅奥到当代。,True,https://podcasts.apple.com/us/podcast/id1048407075?uo=4,
givetheory,give theory a chance,给理论一次机会,The Society Pages,Social Sciences,69,2019-01-01,2FxMB6f1Chzr5kjE11fxMJ,,The Society Pages 出品的社会理论播客：把经典理论与当下议题接通，课堂级的理论对谈。,"A podcast about social theory from The Society Pages, featuring conversations with theorists about theory and its uses.",The Society Pages 旗下的社会理论播客：与理论家对话，聊理论及其用途。,False,https://podcasts.apple.com/us/podcast/id1493451695?uo=4,
uncommonsense,Uncommon Sense,非常识（Sociological Review 官方）,The Sociological Review Foundation,Social Sciences,53,2020-06-01,1JNi8ZKs55ozIIGiD6SVTB,,《社会学评论》基金会官方播客：英国社会学界的公共声音，主题从算法社会到气候正义。,"Uncommon Sense is the podcast from The Sociological Review Foundation, expanding what it means to be sociological through conversations with researchers, writers and artists.",《社会学评论》基金会的播客：通过与研究者、作家、艺术家的对话，拓展'社会学的想象力'的边界。,True,https://podcasts.apple.com/us/podcast/id1618747015?uo=4,
